date,ticker,bw_sector_code,bw_sector_name,close,cross_term_risk_pct,etf_mkt_beta,gross_return_variance,market_beta,market_contr_variance,market_factor_return,market_hedge_wt,market_risk_pct,mktcap,residual_return,residual_risk_pct,residual_variance,return,sector_beta,sector_contr_variance,sector_etf,sector_factor_beta,sector_factor_return,sector_hedge_wt,sector_risk_pct
2024-06-20,NFLX,45.0,Information_Technology,679.03,0.004155426,1.3090332,4.7825365,1.2143086,0.8882689,-0.2717,-0.34966844,0.18565366,276515750000.0,-0.1313029,0.78665835,3.763805,-0.9684,0.66051817,0.112592794,XLK,0.66051817,-0.7678357,-0.66051817,0.023532586
2024-06-20,UNH,35.0,Health_Care,484.52,0.003976573,0.5662169,1.7864103,0.2602848,0.06795779,-0.2717,0.30677977,0.037747804,455931170000.0,0.3085555,0.7903098,1.4228034,0.7213,1.0014971,0.30239075,XLV,1.0014971,0.48274112,-1.0014971,0.16796584
2024-06-20,NVDA,45.0,Information_Technology,130.78,0.01525532,1.3090332,7.752535,2.3135312,1.9788427,-0.2717,0.22666311,0.27126786,2696790100000.0,-1.4217194,0.5645163,4.1180296,-3.5403,1.9405118,1.0866358,XLK,1.9405118,-0.7678357,-1.9405118,0.14896049
2024-06-20,JNJ,35.0,Health_Care,147.78,0.0058282474,0.5662169,1.0321088,0.21062939,0.034038473,-0.2717,0.35206223,0.03450989,352987640000.0,1.0398923,0.68913215,0.6797184,1.4624,0.993774,0.26683417,XLV,0.993774,0.48274112,-0.993774,0.2705297
2024-06-20,AMZN,25.0,Consumer_Discretionary,186.1,0.0024105166,1.1753373,3.0294077,1.3921194,1.2226973,-0.2717,-1.1620328,0.38537106,1836145300000.0,2.0905235,0.4928312,1.5636445,1.7997,0.19576219,0.37878913,XLY,0.19576219,0.44653916,-0.19576219,0.11938717
2024-06-20,JPM,40.0,Financials,198.67,0.03116375,0.78151953,1.1764472,0.6496753,0.2898845,-0.2717,0.31795758,0.24469061,581886100000.0,0.10125685,0.37675056,0.44633567,0.8477,1.238143,0.41155818,XLF,1.238143,0.7454389,-1.238143,0.34739497
2024-06-20,XOM,10.0,Energy,111.74,0.013093498,0.45642883,1.6787664,0.36079982,0.11314343,-0.2717,0.13728884,0.06439554,526019900000.0,0.11355591,0.16557255,0.29091218,2.1576,1.0912734,1.3299463,XLE,1.0912734,1.9629117,-1.0912734,0.7569384
2024-06-20,META,45.0,Information_Technology,501.7,0.0030913095,1.3090332,5.0874944,1.6428936,1.3748554,-0.2717,-1.1179672,0.27314854,1023032800000.0,1.1967787,0.6958952,3.5026925,0.4425,0.40100306,0.1402543,XLK,0.40100306,-0.7678357,-0.40100306,0.027864935
2024-06-20,PG,30.0,Consumer_Staples,167.67,0.0063254847,0.37317726,0.7387893,0.21042769,0.06994396,-0.2717,0.12812437,0.087351836,388336650000.0,-0.36449417,0.4125324,0.330321,-0.528,0.9072151,0.39538544,XLP,0.9072151,-0.11720774,-0.9072151,0.49379027
2024-06-20,GOOG,45.0,Information_Technology,177.71,0.0035344474,1.3090332,3.0437438,1.0547261,0.79966,-0.2717,-0.5013192,0.25886413,1013265000000.0,1.3252794,0.7139152,2.2053635,0.7141,0.42276,0.07316914,XLK,0.42276,-0.7678357,-0.42276,0.023686148
2024-06-21,NFLX,45.0,Information_Technology,686.12,0.0041619125,1.3090332,4.759201,1.2143086,0.88600177,-0.1336,-0.34966844,0.18546888,276515750000.0,1.2062744,0.78682244,3.7587225,1.0441,0.66051817,0.11248466,XLK,0.66051817,8.6829066e-05,-0.66051817,0.023546686
2024-06-21,UNH,35.0,Health_Care,482.59,0.003991021,0.5662169,1.7776545,0.2602848,0.067665376,-0.1336,0.30677977,0.037721943,455931170000.0,-0.7198051,0.78973085,1.416614,-0.3983,1.0014971,0.30235493,XLV,1.0014971,0.35574657,-1.0014971,0.16855615
2024-06-21,NVDA,45.0,Information_Technology,126.57,0.0152088385,1.3090332,7.7871327,2.3135312,1.9741889,-0.1336,0.22666311,0.2698053,2696790100000.0,-2.9101808,0.5680357,4.156367,-3.2191,1.9405118,1.075247,XLK,1.9405118,8.6829066e-05,-1.9405118,0.14695016
2024-06-21,JNJ,35.0,Health_Care,148.75,0.0058262385,0.5662169,1.033872,0.21062939,0.033918057,-0.1336,0.35206223,0.03437595,352987640000.0,0.3310084,0.689212,0.6800316,0.6564,0.993774,0.26698154,XLV,0.993774,0.35574657,-0.993774,0.2705858
2024-06-21,AMZN,25.0,Consumer_Discretionary,189.08,0.0024095832,1.1753373,3.0340412,1.3921194,1.2196951,-0.1336,-1.1620328,0.38427597,1836145300000.0,1.591148,0.49468917,1.5701474,1.6013,0.19576219,0.37651765,XLY,0.19576219,1.0019251,-0.19576219,0.1186253
2024-06-21,JPM,40.0,Financials,196.3,0.031134676,0.78151953,1.1832206,0.6496753,0.28884846,-0.1336,0.31795758,0.24358863,581886100000.0,-0.75795114,0.37850684,0.44883507,-1.1929,1.238143,0.41120112,XLF,1.238143,-0.281189,-1.238143,0.34676978
2024-06-21,XOM,10.0,Energy,110.76,0.013128607,0.45642883,1.6776638,0.36079982,0.112505786,-0.1336,0.13728884,0.06420432,526019900000.0,-0.26676828,0.16594584,0.29078832,-0.877,1.0912734,1.3260092,XLE,1.0912734,-0.5150211,-1.0912734,0.75672126
2024-06-21,META,45.0,Information_Technology,494.78,0.0030899977,1.3090332,5.092352,1.6428936,1.3721166,-0.1336,-1.1179672,0.2724887,1023032800000.0,-1.1598443,0.6967907,3.5086887,-1.3793,0.40100306,0.1391339,XLK,0.40100306,8.6829066e-05,-0.40100306,0.02763061
